Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw2,j12,20,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,j2,25,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,j4,60,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,j6,60,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,j8,40,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,l10,20,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,l12,40,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,l2,30,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,l4,55,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,l6,50,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,l8,40,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,b10,75,15,15,100,adoll,NA
barr,2011,29-May-11,brw6,b12,30,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,b2,20,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,b4,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,b6,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,b8,65,25,25,100,adoll,NA
barr,2011,29-May-11,brw6,d10,55,5,5,100,adoll,NA
barr,2011,29-May-11,brw6,d12,45,5,5,100,adoll,NA
barr,2011,29-May-11,brw6,d2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,d4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,d6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,d8,20,20,20,100,adoll,NA
barr,2011,29-May-11,brw6,f10,85,5,5,100,adoll,NA
barr,2011,29-May-11,brw6,f12,50,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,f2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,f8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h10,60,20,20,100,adoll,NA
barr,2011,29-May-11,brw6,h12,80,10,10,100,adoll,NA
barr,2011,29-May-11,brw6,h2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,h6,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,h8,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,j10,10,30,30,100,adoll,NA
barr,2011,29-May-11,brw6,j12,65,20,20,100,adoll,NA
barr,2011,29-May-11,brw6,j2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,j8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l10,0,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,l12,60,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,l2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l6,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,l8,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw3,b10,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,b12,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,b2,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,b4,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,b6,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,b8,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d10,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d12,35,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d2,20,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d4,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d6,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,d8,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f10,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f12,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f2,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f4,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f6,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f8,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h10,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h12,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h2,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h4,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h6,50,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h8,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j10,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j12,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j2,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j4,30,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j6,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j8,30,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l10,20,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l12,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l2,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l4,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l6,30,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l8,25,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,b10,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b12,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b2,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b4,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b6,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b8,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d10,30,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d12,0,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d2,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d4,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d6,70,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d8,45,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f10,35,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f12,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f2,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f4,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f6,50,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,f8,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,h10,25,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,h12,50,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,h2,50,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,h4,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,h6,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,h8,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j10,30,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j12,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j2,35,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j4,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j6,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,j8,25,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,l10,20,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,l12,5,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,l2,20,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,l4,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,l6,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,l8,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,b10,10,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,b12,20,30,30,100,jcunningham,NA
barr,2011,29-May-11,brw8,b2,5,20,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,b4,35,15,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,b6,50,15,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,b8,45,40,40,100,jcunningham,NA
barr,2011,29-May-11,brw8,d10,50,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,d12,60,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,d2,20,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,d4,30,25,25,100,jcunningham,NA
barr,2011,29-May-11,brw8,d6,60,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,d8,45,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,f10,30,35,35,100,jcunningham,NA
barr,2011,29-May-11,brw8,f12,35,40,40,100,jcunningham,NA
barr,2011,29-May-11,brw8,f2,10,20,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,f4,10,20,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,f6,50,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,f8,40,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,h10,15,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,h12,5,15,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,h2,20,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,h4,10,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,h6,15,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,h8,25,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,j10,15,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,j12,65,15,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,j2,20,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,j4,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,j6,30,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,j8,40,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,l10,40,15,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,l12,70,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,l2,55,5,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,l4,25,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,l6,15,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,l8,15,5,5,100,jcunningham,NA
barr,2011,31-May-11,brw3,b10,5,5,5,100,abankert,NA
barr,2011,31-May-11,brw3,b12,50,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,b2,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,b4,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,b6,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,b8,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d10,-100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d12,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d2,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d4,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d6,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d8,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f10,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f12,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f2,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f4,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f6,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f8,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h10,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h12,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h2,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h4,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h6,50,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h8,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j10,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j12,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j2,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j4,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j6,40,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j8,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l10,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l12,20,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l2,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l4,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l6,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l8,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,b10,75,20,20,100,abankert,NA
barr,2011,31-May-11,brw6,b12,55,15,15,100,abankert,NA
barr,2011,31-May-11,brw6,b2,40,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,b4,30,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,b6,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,b8,70,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,d10,55,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,d12,60,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,d2,95,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,d4,95,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,d6,10,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,d8,60,15,15,100,abankert,NA
barr,2011,31-May-11,brw6,f10,65,20,20,100,abankert,NA
barr,2011,31-May-11,brw6,f12,65,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,f2,90,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,f4,80,20,20,100,abankert,NA
barr,2011,31-May-11,brw6,f6,80,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,f8,5,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,h10,65,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,h12,85,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,h2,95,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,h4,90,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,h6,95,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,h8,10,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,j10,20,50,50,100,abankert,NA
barr,2011,31-May-11,brw6,j12,75,20,20,100,abankert,NA
barr,2011,31-May-11,brw6,j2,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j4,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j6,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,j8,70,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,l10,0,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,l12,70,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,l2,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l4,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l6,NA,NA,NA,NA,abankert,NA
barr,2011,31-May-11,brw6,l8,85,15,15,100,abankert,NA
barr,2011,31-May-11,brw8,b10,5,0,0,100,adoll,NA
barr,2011,31-May-11,brw8,b12,20,40,40,100,adoll,NA
barr,2011,31-May-11,brw8,b2,5,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,b4,30,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,b6,75,5,5,100,adoll,NA
barr,2011,31-May-11,brw8,b8,70,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,d10,75,5,5,100,adoll,NA
barr,2011,31-May-11,brw8,d12,85,5,5,100,adoll,NA
barr,2011,31-May-11,brw8,d2,10,15,15,100,adoll,NA
barr,2011,31-May-11,brw8,d4,30,30,30,100,adoll,NA
barr,2011,31-May-11,brw8,d6,80,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,d8,60,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,f10,30,40,40,100,adoll,NA
barr,2011,31-May-11,brw8,f12,20,65,65,100,adoll,NA
barr,2011,31-May-11,brw8,f2,20,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,f4,10,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,f6,70,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,f8,55,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,h10,10,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,h12,20,40,40,100,adoll,NA
barr,2011,31-May-11,brw8,h2,30,40,40,100,adoll,NA
barr,2011,31-May-11,brw8,h4,10,50,50,100,adoll,NA
barr,2011,31-May-11,brw8,h6,5,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,h8,20,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,j10,40,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,j12,75,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,j2,10,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,j4,45,15,15,100,adoll,NA
barr,2011,31-May-11,brw8,j6,25,15,15,100,adoll,NA
barr,2011,31-May-11,brw8,j8,35,30,30,100,adoll,NA
barr,2011,31-May-11,brw8,l10,50,25,25,100,adoll,NA
barr,2011,31-May-11,brw8,l12,80,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,l2,40,50,50,100,adoll,NA
barr,2011,31-May-11,brw8,l4,30,0,0,100,adoll,NA
barr,2011,31-May-11,brw8,l6,15,5,5,100,adoll,NA
barr,2011,31-May-11,brw8,l8,20,10,10,100,adoll,NA
barr,2011,31-May-11,brw2,b10,30,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,b12,15,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,b2,85,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,b4,75,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,b6,80,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,b8,80,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,d10,60,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,d12,65,15,15,100,bhill,NA
barr,2011,31-May-11,brw2,d2,90,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,d4,85,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,d6,80,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,d8,85,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,f10,65,15,15,100,bhill,NA
barr,2011,31-May-11,brw2,f12,50,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,f2,90,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,f4,80,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,f6,70,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,f8,80,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,h10,50,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,h12,15,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,h2,80,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,h4,50,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,h6,85,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,h8,80,15,15,100,bhill,NA
barr,2011,31-May-11,brw2,j10,30,40,40,100,bhill,NA
barr,2011,31-May-11,brw2,j12,40,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,j2,70,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,j4,85,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,j6,80,10,10,100,bhill,NA
barr,2011,31-May-11,brw2,j8,60,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,l10,30,40,40,100,bhill,NA
barr,2011,31-May-11,brw2,l12,55,20,20,100,bhill,NA
barr,2011,31-May-11,brw2,l2,45,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,l4,60,0,0,100,bhill,NA
barr,2011,31-May-11,brw2,l6,85,5,5,100,bhill,NA
barr,2011,31-May-11,brw2,l8,25,0,0,100,bhill,NA
barr,2011,31-May-11,brw1,b10,15,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,b12,5,65,65,100,jcunningham,NA
barr,2011,31-May-11,brw1,b2,40,30,30,100,jcunningham,NA
barr,2011,31-May-11,brw1,b4,15,30,30,100,jcunningham,NA
barr,2011,31-May-11,brw1,b6,10,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,b8,15,35,35,100,jcunningham,NA
barr,2011,31-May-11,brw1,d10,0,75,75,100,jcunningham,NA
barr,2011,31-May-11,brw1,d12,0,85,85,100,jcunningham,NA
barr,2011,31-May-11,brw1,d2,10,25,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,d4,10,45,45,100,jcunningham,NA
barr,2011,31-May-11,brw1,d6,20,40,40,100,jcunningham,NA
barr,2011,31-May-11,brw1,d8,15,30,30,100,jcunningham,NA
barr,2011,31-May-11,brw1,f10,10,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,f12,15,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,f2,10,30,30,100,jcunningham,NA
barr,2011,31-May-11,brw1,f4,10,45,45,100,jcunningham,NA
barr,2011,31-May-11,brw1,f6,5,25,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,f8,5,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,h10,10,50,50,100,jcunningham,NA
barr,2011,31-May-11,brw1,h12,20,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,h2,15,5,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,h4,5,60,60,100,jcunningham,NA
barr,2011,31-May-11,brw1,h6,25,35,35,100,jcunningham,NA
barr,2011,31-May-11,brw1,h8,0,65,65,100,jcunningham,NA
barr,2011,31-May-11,brw1,j10,5,70,70,100,jcunningham,NA
barr,2011,31-May-11,brw1,j12,0,65,65,100,jcunningham,NA
barr,2011,31-May-11,brw1,j2,15,5,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,j4,30,20,20,100,jcunningham,NA
barr,2011,31-May-11,brw1,j6,35,25,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,j8,10,40,40,100,jcunningham,NA
barr,2011,31-May-11,brw1,l10,0,90,90,100,jcunningham,NA
barr,2011,31-May-11,brw1,l12,0,80,80,100,jcunningham,NA
barr,2011,31-May-11,brw1,l2,35,25,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,l4,15,25,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,l6,15,45,45,100,jcunningham,NA
barr,2011,31-May-11,brw1,l8,0,75,75,100,jcunningham,NA
barr,2011,31-May-11,brw5,b10,40,0,0,100,pherzog,NA
